year_month,sea_level,sea_temperature,greenland_mass,antarctica_mass,chlorophylle,CO2,sea_salinity
2011-01-01,9.26230479032258,0.22644721,-2309.49,-909.6800000000001,-0.0017838599999999982,4.4375,0.03670499999999777
2011-02-01,6.970358835714285,0.21523024,-2296.91,-945.82,-0.006569550000000007,1.7274999999999636,0.04085099999999642
2011-03-01,5.213225158064517,0.2011223,-2284.49,-969.73,-0.022812370000000012,4.199999999999989,0.024236999999999398
2011-04-01,4.805760723333333,0.18330483,-2283.34,-998.69,-0.009934090000000007,2.7666666666665947,0.018830000000001235
2011-05-01,5.637374993548387,0.17682007,-2302.29,-926.03,0.0022117500000000054,1.6166666666666742,-0.017674999999997
2011-06-01,6.700157813333333,0.20004626,-2396.425,-899.5,-0.0019564369999999984,4.2900000000000205,-0.0005900000000025329
2011-07-01,7.111295319354839,0.2255746,-2490.56,-872.97,-0.0007139710000000007,2.1289999999999623,-0.009848000000005186
2011-08-01,6.562850638709677,0.24599202,-2684.62,-901.95,-0.0018081710000000042,3.369166666666615,-0.0885680000000022
2011-09-01,5.4505936,0.2631134,-2742.53,-819.19,-0.001048702999999998,-9.441500000000019,-0.10025000000000261
2011-10-01,4.383172109677419,0.28766176,-2763.5,-857.83,-0.006765888000000005,0.03166666666669471,-0.0983799999999988
2011-11-01,3.5505383,0.32704383,-2743.713333333333,-943.4733333333334,-0.014401025999999997,1.9066666666666947,-0.13862000000000307
2011-12-01,2.83763064516129,0.34615767,-2723.9266666666667,-1029.1166666666668,-0.05176315599999999,-0.46999999999997044,-0.0662629999999993
2012-01-01,2.438799551612904,0.34125757,-2704.14,-1114.76,-0.01702173400000001,0.8224999999999909,-0.05506499999999903
2012-02-01,2.9492477241379307,0.3267687,-2690.63,-1079.4,-0.009108489999999997,5.580000000000041,-0.04240000000000066
2012-03-01,4.517788806451613,0.31110695,-2645.24,-1067.31,-0.012067153999999997,-0.4975000000000023,-0.03902699999999726
2012-04-01,6.36035285,0.2992642,-2634.25,-1009.3,0.0015456900000000023,-0.3891666666666538,-0.03233300000000128
2012-05-01,7.278722603225806,0.29655758,-2650.69,-1030.9299999999998,-0.007689396000000001,2.8366666666666447,-0.015740000000000975
2012-06-01,6.99171101,0.28381705,-2667.13,-1052.56,-0.0046714690000000045,-1.6599999999999682,-0.04386300000000176
2012-07-01,6.439085258064517,0.264331,-2899.21,-1033.07,-0.005362779000000005,-0.10499999999996135,-0.0915159999999986
2012-08-01,6.5818952,0.26522782,-3206.86,-966.03,-0.0035610759999999964,1.6813333333333844,-0.011119999999998242
2012-09-01,7.21019648,0.25826785,-3306.33,-935.37,-0.002443525000000002,4.810833333333278,0.0545540000000031
2012-10-01,7.548674577419354,0.25183842,-3275.385,-1001.75,-0.005731651999999997,3.9583333333333144,0.017094000000000165
2012-11-01,7.444586086666666,0.2730431,-3244.44,-1068.13,-0.005242094000000003,4.230000000000018,0.0026500000000027057
2012-12-01,7.630305487096773,0.28491536,-3227.67,-1091.62,0.018170780999999997,3.6433333333333167,-0.005189999999998918
2013-01-01,8.618207983870967,0.29094726,-3224.6,-1265.72,0.0002305880000000038,4.689999999999998,-0.007449999999998624
2013-02-01,9.884462392857143,0.31738013,-3214.09,-1365.06,-0.016231179999999998,0.8274999999999864,0.0036850000000043792
2013-03-01,10.504636064516127,0.34762096,-3217.01,-1253.905,0.03146810400000001,2.2216666666666924,-0.004907000000002881
2013-04-01,9.929045866666666,0.37444836,-3219.93,-1142.75,0.016966961000000003,3.9125000000000227,0.01020099999999502
2013-05-01,8.538843429032259,0.38297218,-3184.89,-1253.33,0.01006004,4.105000000000018,0.015370000000004325
2013-06-01,7.27666133,0.3636206,-3163.93,-1243.47,0.007056538000000001,3.1850000000000023,0.008372999999998854
2013-07-01,6.71354120967742,0.3231236,-3270.51,-1194.02,0.003906891000000003,1.4624999999999773,0.04301800000000355
2013-08-01,6.69043810967742,0.27830565,-3293.1966666666667,-1229.2033333333334,0.0016122800000000007,2.617999999999995,0.047727999999999327
2013-09-01,6.56245907,0.2663569,-3315.8833333333337,-1264.3866666666665,0.0007346829999999999,-0.49333333333328255,0.02295999999999765
2013-10-01,6.064133825806452,0.26791248,-3338.57,-1299.57,0.003389144999999996,1.6766666666666765,0.0405889999999971
2013-11-01,5.596726816666666,0.25605828,-3340.06,-1340.59,-0.0007339700000000005,0.058333333333393966,0.10956199999999683
2013-12-01,5.571185377419355,0.26260176,-3327.11,-1391.45,-0.005822964999999999,2.4266666666667334,0.02535699999999963
2014-01-01,5.991006558064517,0.28052,-3312.47,-1499.39,-0.0019087200000000026,0.23500000000001364,0.024417999999997164
2014-02-01,6.327038589285714,0.28793564,-3286.955,-1557.785,0.010540210000000008,0.5024999999999977,0.016197999999995716
2014-03-01,6.311233470967742,0.29109251,-3261.44,-1616.18,-0.03974897000000001,4.853333333333296,0.014645000000001573
2014-04-01,6.194592626666666,0.2854273,-3251.53,-1541.38,-0.029107075999999996,1.1000000000000227,0.017307000000002404
2014-05-01,6.484142709677419,0.28340724,-3247.96,-1432.15,-0.012799230000000002,0.9350000000000023,-0.0056550000000044065
2014-06-01,7.292297026666666,0.30495194,-3284.46,-1468.24,-0.005307391000000002,1.4266666666666765,0.00337000000000387
2014-07-01,8.176861187096774,0.34366602,-3424.94,-1497.0,-0.0022509920000000003,3.7975000000000136,-0.011212000000000444
