year_month,co2_trend
2007-04-01,384.5657499999999
2007-05-01,384.75263888888884
2007-06-01,385.1156388888888
2007-07-01,385.50453472222216
2007-08-01,385.72582638888883
2007-09-01,385.91576388888893
2007-10-01,386.1171944444444
2007-11-01,386.3369166666667
2007-12-01,386.49420833333335
2008-01-01,386.70089583333333
2008-02-01,386.83079166666664
2008-03-01,386.9759791666666
2008-04-01,387.14849999999996
2008-05-01,387.18966666666665
2008-06-01,387.06977083333334
2008-07-01,386.95931249999995
2008-08-01,387.1587499999999
2008-09-01,387.41673611111105
2008-10-01,387.56380555555546
2008-11-01,387.63688888888885
2008-12-01,387.64068055555555
2009-01-01,387.693638888889
2009-02-01,387.87055555555554
2009-03-01,387.98559027777776
2009-04-01,388.08195833333326
2009-05-01,388.2167638888888
2009-06-01,388.3434652777777
2009-07-01,388.4807569444444
2009-08-01,388.5147152777778
2009-09-01,388.5948541666667
2009-10-01,388.80601388888886
2009-11-01,389.0034583333333
2009-12-01,389.2313402777778
2010-01-01,389.4640277777778
2010-02-01,389.5844236111111
2010-03-01,390.1755972222222
2010-04-01,390.89076388888884
2010-05-01,391.1932638888889
2010-06-01,391.5
2010-07-01,391.8409375
2010-08-01,392.0978125
2010-09-01,392.3447916666666
2010-10-01,392.6350694444444
2010-11-01,392.8177083333333
2010-12-01,393.06381944444445
2011-01-01,393.33127777777776
2011-02-01,393.5603680555555
2011-03-01,393.3073541666667
2011-04-01,392.91527777777776
2011-05-01,392.99604166666666
2011-06-01,393.05590277777776
2011-07-01,393.07059027777774
2011-08-01,393.33736111111114
2011-09-01,393.54913194444447
2011-10-01,393.45604166666664
2011-11-01,393.4091666666666
2011-12-01,393.1756944444444
2012-01-01,392.9539444444444
2012-02-01,393.1505972222222
2012-03-01,393.6034097222222
2012-05-01,394.2193472222222
2012-06-01,394.72052777777776
2012-07-01,395.1941388888889
2012-08-01,395.68382638888886
2012-09-01,395.87399999999997
2012-10-01,395.9763611111111
2012-11-01,396.2542777777777
2012-12-01,396.5580277777777
2013-01-01,396.7516736111111
2013-02-01,396.9216944444444
2013-03-01,397.0102222222222
2013-04-01,397.05952777777776
2013-05-01,397.1318194444445
2013-06-01,397.2353611111111
2013-07-01,397.34626388888887
2013-08-01,397.37699305555554
2013-09-01,397.6001527777778
2013-10-01,397.8482083333333
2013-11-01,397.933
2013-12-01,398.0314027777777
2014-01-01,398.2490763888889
2014-02-01,398.3397638888889
2014-03-01,398.4122222222222
2014-04-01,398.6797222222222
2014-05-01,398.91937499999995
2014-06-01,399.18277777777774
2014-07-01,399.36256944444443
2014-08-01,399.4966319444444
2014-09-01,399.5875694444444
2014-10-01,399.6765277777777
2014-11-01,399.8537152777778
2014-12-01,400.0098958333333
2015-01-01,400.31384722222225
2015-02-01,400.70588888888886
2015-03-01,400.94182638888884
2015-04-01,401.08186111111104
2015-05-01,401.3664097222222
2015-06-01,401.6299861111111
2015-07-01,401.8504027777778
2015-08-01,402.0945347222222
2015-09-01,402.3247083333333
2015-10-01,402.60949999999997
2015-11-01,402.907625
2015-12-01,403.2577291666666
2016-01-01,403.4435416666667
2016-02-01,403.6100833333334
2016-03-01,403.9878958333334
2016-04-01,404.4310555555556
2016-05-01,404.7844236111111
2016-06-01,405.0532777777778
2016-07-01,405.3872361111111
2016-08-01,405.74456250000003
2016-09-01,406.00543055555556
2016-10-01,406.22115972222224
2016-11-01,407.64838194444445
2016-12-01,409.0215416666666
2017-01-01,409.1718125
2017-02-01,409.37555555555554
2017-03-01,409.5747569444444
2017-04-01,409.66749999999996
2017-05-01,409.7126388888888
2017-06-01,409.82461805555556
2017-07-01,409.96430555555554
2017-08-01,410.19461805555557
2017-09-01,410.43205555555556
2017-10-01,410.67379861111107
2017-11-01,409.81815277777775
2017-12-01,408.8302638888889
2018-01-01,409.0815972222222
2018-02-01,409.34135416666663
2018-03-01,409.50809027777774
2018-04-01,409.6553194444444
2018-05-01,409.7674444444444
2018-06-01,409.8941111111111
2018-07-01,410.09536111111106
2018-08-01,410.23036111111105
2018-09-01,410.33990277777775
2018-10-01,410.50868055555554
2018-11-01,410.5625416666666
2018-12-01,410.7984374999999
2019-01-01,411.06512499999997
2019-02-01,411.2553541666666
2019-03-01,411.45006249999994
2019-04-01,411.64894444444445
2019-05-01,411.9375138888889
2019-06-01,412.20824305555556
2019-07-01,412.3670138888889
2019-08-01,412.5240138888889
2019-09-01,412.77693055555557
2019-10-01,413.02995138888895
2019-11-01,413.2953888888889
2019-12-01,413.47363888888884
2020-01-01,413.60718055555554
2020-02-01,413.7724722222222
2020-03-01,414.0398472222222
2020-04-01,414.32911111111116
2020-05-01,414.49233333333336
2020-06-01,414.67025000000007
2020-07-01,414.8898125
2020-08-01,415.15958333333333
2020-09-01,415.4472916666667
2020-10-01,415.65739583333334
2020-11-01,415.91474999999997
2020-12-01,416.1943958333333
2021-01-01,416.4726458333333
2021-02-01,416.73693749999995
2021-03-01,416.85902083333326
2021-04-01,416.9824166666666
2021-05-01,417.26841666666667
2021-06-01,417.6156041666667
2021-07-01,417.9515416666667
2021-08-01,418.1719583333334
2021-09-01,418.323625
2021-10-01,418.55435416666666
2021-11-01,418.71195833333337
2021-12-01,418.7794583333333
2022-01-01,418.9369375
2022-02-01,419.2660486111111
2022-03-01,419.5883472222221
2022-04-01,419.7875347222222
2022-05-01,419.9248055555555
2022-06-01,419.98774305555554
2022-07-01,420.0848819444445
2022-08-01,420.2863055555556
2022-09-01,420.4830694444444
2022-10-01,420.6443819444444
2022-11-01,420.8206319444445
2022-12-01,421.0839305555556
2023-01-01,421.38549305555557
2023-02-01,421.47538888888886
2023-03-01,421.4905555555555
2023-04-01,421.6808263888888
2023-05-01,421.87155555555546
2023-06-01,422.14084027777767
2023-07-01,422.39547222222217
2023-08-01,422.51904861111103
2023-09-01,422.6585347222222
2023-10-01,422.84152777777774
2023-11-01,423.085625
2023-12-01,423.3314930555555
2024-01-01,423.4836805555555
2024-02-01,423.83944444444444
2024-03-01,424.2882638888889
2024-04-01,424.54993055555553
2024-05-01,424.7502083333333
